comment,label
อีตัวเงินตัวทอง,1
น่าสงสาร สัมภเวสี พวกเศษขยะอย่างพวกมึง,1
ไม่ชั่วทำไม่ได้นะ,1
ปากบอกไม่เป็นไรๆแต่ในใจโกรธและเสียหน้ามาก นางมีปมในใจอยู่แล้วว่าคนจะไม่ต้อนรับเลยโวยวาย น่าเกลียดจริงๆดูไม่มีความรู้เลย งานนี้คุณป้าไม่ผิดนะคะ,1
คำว่า ผู้ดี กับ ไพร่ ,0
ดูได้จากปฏิกริยา ความคิด กมลสันดาน และการกระทำ ,0
ขอบคุณป้าที่ทำให้เห็นธาตุแท้ของคนบางคนยิ่งขึ้น,0
เขารู้ว่าเป็นคนเลวเขาจึงไม่ให้ถ่ายไง,0
จิตใจคิดร้ายหวังให้เขาเสื่อมเสีย,0
คุณป้าท่านสุภาพเป็นผู้ดีพอพูดจาไพเราะขอไห้ขายดีๆนะคะ,0
เคารพสิทธิคนอื่นด้วย ,0
คนจัญไร,1
ตัวเสนียดจัญไรมันจะไม่ต้องเข้าร้าน,1
อาจจะกลัวผลกระทบตามมาจากการใช้พื้นที่ร้านเขา,0
เขาไม่ได้พูดว่าไม่ต้อนรับพวกนั้น พวกนี้ซะหน่อย,0
ป้าเขายังพูดขอโทษ ที่ให้ถ่ายไม่ได้,0
หน้าแหกยับ นักประชาธิปไตย,0
น่าสมเพช น่ารังเกียจ,1
เขาไม่พูดสักคำว่าเสื้อแดงห้ามเข้าพูดเอง นิสัยไม่ดีเลย,0
เสียภาพพจน์สื่อหมดมีคนแบบนี้ทำรายการสื่อ,0
ป่วยจิตนะเนี่ย,1
ดูกิริยา น้ำเสียง สตอรเบอร์รี่,1
เก็บอาการไม่อยู่,0
คนเรามีอารมณ์โกรธไม่พอใจได้ อย่างนี้ก็เป็นเรื่องธรรมดา ใครก็มีโอกาสระเบิดอารมณ์ได้ครับ คนถ่ายรายการตอนแรกที่ถูกปฏิเสธน้ำเสียงยังดีอยู่ เหมือนควบคุมอารมณ์ได้ แต่ตอนเริ่มออกจากร้านไปก็ระบายโทสะธาตุแท้ออกมา ,0
ตลกมากๆ อยากให้มีคลิปแบบนี้อีก ดูแล้วก็หัวเราะ หายเครียดเลย นางเป็นคนตลก ทำให้คนดูหัวเราะได้ ทำคลิปแบบนี้ออกมาเยอะๆนะคะ,0
หน้าแหก ,0
อิบ้า ,1
เหมือนคนไม่มีการศึกษา   หน้าอายมาก,1
สุภาพมากเลยค่ะ,0
เอาน้ำล้างไล่เสนียดจังไรหน้าร้านด้วยครับคุณป้าจังไรคนจริงๆ,1
